iter	Passed	Remaining
0	72	21806
1	96	14406
2	107	10633
3	115	8577
4	123	7298
5	130	6391
6	136	5719
7	142	5187
8	148	4786
9	162	4701
10	167	4391
11	176	4227
12	181	4008
13	186	3799
14	206	3920
15	224	3986
16	247	4113
17	252	3918	18	261	3819	19	265	3720	267	3549
21	278	3525
22	283	3409
23	295	3394
24	302	3322
25	312	3295
26	318	3225
27	325	3161
28	329	3083
29	334	3012
30	338	2933
31	31	341	2832	32	351	2833	33	360	2834	34	367	2735	375	2750
36	383	2729
37	394	2721
38	408	2736
39	419	2726
40	433	2741
41	440	2703
42	446	2671
43	455	2652
44	468	2652
45	478	2643
46	486	2618
47	493	2590
48	502	2572
49	510	2551
50	524	2563
51	530	2529
52	539	2513
53	556	2536
54	563	2512
55	573	2496
56	581	2477
57	585	2444
58	591	2416
59	599	2397
60	610	2392
61	615	2362
62	623	2346
63	629	2320
64	634	2293
65	639	2268
66	646	2248
67	654	2234
68	662	2217
69	668	2195
70	672	2168
71	678	2148
72	683	2124
73	690	2108
74	697	2092
75	705	2079
76	711	2061
77	716	2037
78	720	2016
79	726	1999
80	735	1988
81	740	1967
82	745	1947
83	751	1932
84	758	1918
85	767	1908
86	770	1887
87	776	1869
88	782	1855
89	787	1838
90	794	1825
91	800	1810
92	805	1793
93	811	1779
94	818	1767
95	823	1750
96	835	1747
97	841	1733
98	849	1725
99	859	1719
100	867	1708
101	879	1707
102	887	1698
103	892	1682
104	897	1666
105	904	1654
106	911	1643
107	918	1633
108	925	1621
109	930	1607
110	937	1595
111	943	1583
112	951	1574
113	954	1558
114	967	1555
115	974	1545
116	983	1538
117	989	1526
118	995	1514
119	1008	1512
120	1013	1499
121	1019	1488
122	1026	1477
123	1031	1464
124	1038	1454
125	1048	1448
126	1056	1439
127	1065	1431
128	1075	1425
129	1080	1413
130	1096	1414
131	1114	1418
132	1128	1416
133	1137	1409
134	1146	1400
135	1159	1398
136	1166	1388
137	1176	1380
138	1182	1369
139	1187	1357
140	1195	1348
141	1206	1342
142	1211	1330
143	1220	1321
144	1228	1313
145	1234	1302
146	1241	1292
147	1250	1284
148	1254	1271
149	1258	1258
150	1263	1246
151	1268	1235
152	1273	1223
153	1281	1214
154	1286	1203
155	1294	1194
156	1297	1182
157	1301	1169
158	1305	1157
159	1311	1147
160	1314	1135
161	1318	1122
162	1326	1115
163	1334	1106
164	1342	1098
165	1349	1089
166	1356	1080
167	1363	1070
168	1368	1060
169	1376	1052
170	1381	1041
171	1385	1031
172	1390	1020
173	1396	1011
174	1402	1001
175	1408	992
176	1413	982
177	1418	972
178	1423	962
179	1427	951
180	1432	941
181	1435	931
182	1443	923
183	1448	913
184	1453	903
185	1467	899
186	1476	892
187	1483	883
188	1490	875
189	1496	866
190	1499	855
191	1504	846
192	1508	836
193	1511	826
194	1515	816
195	1519	806
196	1522	796
197	1525	786
198	1529	776
199	1532	766
200	1535	756
201	1537	746
202	1539	735
203	1542	725
204	1544	715
205	1547	706
206	1550	696
207	1553	687
208	1555	677
209	1557	667
210	1559	657
211	1562	648
212	1565	639
213	1569	630
214	1572	621
215	1575	612
216	1578	603
217	1583	595
218	1587	587
219	1589	578
220	1592	569
221	1595	560
222	1598	551
223	1602	543
224	1605	535
225	1608	526
226	1610	518
227	1613	509
228	1615	500
229	1617	492
230	1621	484
231	1623	475
232	1625	467
233	1627	459
234	1632	451
235	1635	443
236	1638	435
237	1641	427
238	1644	419
239	1646	411
240	1650	404
241	1652	396
242	1655	388
243	1657	380
244	1659	372
245	1660	364
246	1662	356
247	1664	348
248	1665	341
249	1667	333
250	1669	325
251	1670	318
252	1672	310
253	1673	303
254	1675	295
255	1676	288
256	1678	280
257	1679	273
258	1681	266
259	1682	258
260	1684	251
261	1685	244
262	1687	237
263	1688	230
264	1690	223
265	1691	216
266	1693	209
267	1695	202
268	1697	195
269	1698	188
270	1700	181
271	1702	175
272	1703	168
273	1705	161
274	1707	155
275	1708	148
276	1709	141
277	1711	135
278	1712	128
279	1714	122
280	1715	116
281	1717	109
282	1719	103
283	1721	96
284	1722	90
285	1724	84
286	1726	78
287	1728	72
288	1729	65
289	1731	59
290	1733	53
291	1734	47
292	1736	41
293	1738	35
294	1739	29
295	1741	23
296	1743	17
297	1745	11
298	1747	5
299	1748	0
